Comment,Cleaned_Comment
"abidzar ini egonya gede banget. Keinget henry cavill yang bener bener mau adaptasi dari buku sama game buat the witcher bahkan sampe keluar dar netflix karena ga sesuai sama source materialnya. Bahkan henry cavill nge bela fans yang di anggap toxic sama media. Segitu sekelas henry cavill A-lister hollywood. Si abidzar seenaknya ngomong ga nonton, mau bikin karakter sendiri dan ngatain marketnya sendiri. udah ego gede tolol pulak",egonya gede keinget henry cavill bener bener adaptasi buku game the witcher sampe dar netflix sesuai source materialnya henry cavill nge bela anggap toxic media segitu sekelas henry cavill alister hollywood ngomong ngatain marketnya ego gede tolol pulak
Satu lagi bang jgn noel ranah agama😂,jgn noel ranah agama
Bang gak capek marah mulu 😂,capek marah mulu
Ruler ke 5 Jangan macem-macem aja pokoknya 😂,ruler 5 macemmacem pokoknya
Ratingnya mau nyaingin x arm,ratingnya nyaingin x arm
"Mending emak abdizar si umi pipik bikin fatwa aj kalo nonton felm anaknya dijamin masuk surga, dijamin tetep nga ada yg nonton jg😅",mending emak abdizar umi pipik fatwa aj felm anaknya dijamin masuk surga dijamin tetep nga jg
"Wait, bukannya no.2 Kpopers y? Soalx entitas emak&quot; kan ikutan 🤣 klo bapak&quot; yg ngewibu dah pasti rare, klo pun ada pasti yg jadul&quot; kek wanpis, bleach dll 😅",wait no2 kpopers y soalx entitas emak ikutan ngewibu dah rare jadul kek wanpis bleach dll
"jujur review ini yg sangat ku tunggu² dan aku juga udah tau film ini bakal ga sesuai ekspektasi karena yg dari 12eps di rangkum jadi satu ituu kek mana?🙄 dan masalah si A, udah lah yaa udah capek juga sama tu org, udah males banget, jangan dikasih panggung lagi biarin aja dia mau apa juga terserah.",jujur review ku tunggu sesuai ekspektasi 12eps rangkum ituu kek a yaa capek tu org males dikasih panggung biarin terserah
"Ariel tatum auto pasrah, sekalian dijatuhin filmnya, sejatuh jatuhnya",ariel tatum auto pasrah dijatuhin filmnya sejatuh jatuhnya
Kalau Kata Raihan...Iman tak dapat diwarisi dari Seorang Ayah yang bertaqwa...,raihaniman diwarisi ayah bertaqwa
Bs2nya aku nonton video ini smpai habis 😂,bs2nya video smpai habis
"Si doi ga sadar kali ye, kalau film itu hajat orang banyak bahkan sampai ke tukang bersih²nya di produksi film. Yah semoga jadi pelajaran buat para penggelut dunia film untuk bisa ambil pelajaran dari hal terbusuk sekalipun.",doi sadar kali ye hajat tukang bersihnya produksi yah semoga pelajaran penggelut dunia ambil pelajaran terbusuk
"kenapaa k-drama lovers sgt sgt sgt memboikot? Sbnrnya itu bentuk kekecewaan kita, krna kita tau banyak aktor aktor k-drama tuh BNR BNR usaha nya mendalami karakter itu tanpa (menciptakan karakter sendiri) dgn ego nya, tp ini malah seolah olah menyepelekan karakter yg sudah ada:) nonton drkornya cmn 1 eps at least dia baca Webtoon nya lah tp ini engga ada 😢",kenapaa kdrama lovers sgt sgt sgt memboikot sbnrnya bentuk kekecewaan krna kdrama tuh bnr bnr usaha mendalami menciptakan dgn ego tp olah menyepelekan drkornya cmn 1 eps at least baca webtoon tp engga
"Padahal udah ada batu pijakan buat abidzar buat bisa lebih high lg, malah dia sendiri yg hancurin, banyak yg mau ngisi di posisi dia loh padahal, kurang bersyukur nih anak ustadz yg satu ini 😢",batu pijakan high lg hancurin ngisi posisi loh bersyukur nih anak ustadz
"Ngapain palkon hire aktor yang kualitas akting dan attitudenya sama-sama NOL. Akting macam coro aja belagu, jadi flop kan filmnya",ngapain palkon hire kualitas akting attitudenya samasama nol akting coro belagu flop filmnya
vino g sebastian ketawa aja liat ini😅😅😅😅😅,vino g sebastian ketawa liat
"komentator terbaik guaaa hadir bang woii, pagi pagi nih selesai beresin dagangan auto mampir sambil sarapan🙌🏻🔥",komentator terbaik hadir woii pagi pagi nih selesai beresin dagangan auto mampir sarapan
"Ayo ,tim promosi film bisnis proposal , jual2 in tiket secara masiv gencarkan di sekolah2, kampus, terminal dll. Netizen dukung dong perfilm an indonesia🇲🇨 klo bukan kalian , siapa lagi.",ayo tim promosi bisnis proposal jual2 in tiket masiv gencarkan sekolah2 kampus terminal dll netizen dukung perfilm an indonesia
Ireng satu ini emang gk pernah nnton satupun film nya.. 😂,ireng nnton satupun
fans K” an emg tlol,k an emg tlol
"Remake sih😂, Lama-lama Indonesia terkenal ama film dan drama remmake-annya😂,kalau Korea k-drama kemungkinan Indonesia akan jadi copy-drama,dulu ngatain china negara tukang copy sekarang bahkan drama china di copy di Indonesia,ironi",remake lamalama indonesia terkenal ama drama remmakeannyakalau korea kdrama indonesia copydramadulu ngatain china negara tukang copy drama china copy indonesiaironi
Intinya abidzar lagi star sindrom,intinya star sindrom
"pemeran utama cowoknya saja attitude nya kayak sampah, bagaimana nggak diboikot?",pemeran utama cowoknya attitude kayak sampah nggak diboikot
"Yg pertama diralat,<br>Jagan macam&quot; sama fans MU<br>Lebih spesifik aja😂",diralatjagan mulebih spesifik
"Abidzar ini tipe orang...lempar bom terus melarikan diri, gak ada tanggungjawabnya.<br>Para produser, ati2 mempekerjakan  orang kayak gini. Aktor/Artis harusnya mempromosikan dagangannya secara positif. Bukan kayak kondektur bus jaman jadul, kalau gak suka turun....😅.",tipe oranglempar bom melarikan tanggungjawabnyapara produser ati2 mempekerjakan kayak gini aktorartis mempromosikan dagangannya positif kayak kondektur bus jaman jadul suka turun
Biasalah tipikal anak orang kaya/anak artis... Minim prestasi + big ego💩🤮,biasalah tipikal anak kayaanak artis minim prestasi big ego
Lempar batu sembunyi tangan,lempar batu sembunyi tangan
Ginilah kalau milih aktor Lewat jalur dalam... Kelakuan seenak Jidat 😅😅..terus kalau udah gini gimana? Apakah nih orang bakalan kena sangsi? Karena gimana pun nih orang juga Faktor UTAMA gagalnya nih seri.. bahkan kalau liat review nya cuma 10 orang doang yg review full 10 dan gw yakin ini orang PHnya.. entah kenapa.. ngeliat review yg seolah olah si abidzar itu Bagus dalam akting.. padahal yg bilang buruk dia akting itu Fans original nya..😅😅,ginilah milih jalur kelakuan seenak jidat gini gimana nih kena sangsi gimana nih faktor utama gagalnya nih seri liat review 10 doang review full 10 phnya ngeliat review olah bagus akting buruk akting original
Artisnya sombong tapi goblok sih.,artisnya sombong goblok
film AOT akan keluar???<br>film baru kah?? kan beberapa bulan lalu baru keluar filmnya???,aot keluarfilm kah filmnya
yg gokil di tiktod malah ngehujat fisik😅 dongo emang,gokil tiktod ngehujat fisik dongo
Gege,gege
Kek nya angga yunanda lebih pas deh,kek angga yunanda pas deh
Bayu skak be like : jancuk gateli arek iki,bayu skak be like jancuk gateli arek iki
"Gw setuju banget.. justru kata2 &quot;fanatik&quot; itu kuncinya, lo kaga usah aneh2 juga kalau dah fanatik pasti di tonton, soal setelah nonton dibilang jelek, tapi setidaknya dia pasti nonton dulu. Lah malah &quot;fanatik&quot; itu lo pakai buat membuli calon penonton lo.. t0l0l sih boleh.. tapi jangan kebangetan.",setuju kata2 fanatik kuncinya lo kaga aneh2 dah fanatik tonton dibilang jelek fanatik lo pakai membuli calon penonton lo t0l0l kebangetan
buat surat pernyataan minta maaf sedangkan orang indo jarang baca....🤣🤣🤣🤣,surat pernyataan maaf indo jarang baca
"Si Abidzar ini emang problematik sih<br>Bad PR move juga dr flacon dan Abidzar<br><br>Udah sering lho aktor yg diremehkan dan dianggep gagal sebelum filmnya rilis<br><br>Kayak pattinson tuh, waktu trailer dan castnya diumumin banyak yg gk setuju dan dianggep lembek<br><br>Apakah pattinson ngamuk terus bilang, kalo gk suka gk usah nonton ?<br>Ya enggak lah, dia memahami kalo batman memang karakter yg disukai dan ada film pendahulunya yg bagus banget, akhirnya apa waktu rilis ?<br>Semuanya muji2 akting pattinson yg keren banget<br><br>Bahkan mendiang heath ledger aja digituin juga<br><br>Ini parah banget sih jujur aja, falcon juga malah playing victim<br><br>Penonton tuh gk peduli staff filmnya ada yg mati kek, pingsan kek yg mereka peduliin cuma sebagus apa filmnya ini sampe bawa2 nama remake, nama drakornya dan bawa2 webtooonya",problematik sihbad pr move dr flacon abidzarudah lho diremehkan dianggep gagal filmnya riliskayak pattinson tuh trailer castnya diumumin setuju dianggep lembekapakah pattinson ngamuk suka memahami batman disukai pendahulunya bagus rilis muji2 akting pattinson keren bangetbahkan mendiang heath ledger digituin jugaini parah jujur falcon playing victimpenonton tuh peduli staff filmnya mati kek pingsan kek peduliin sebagus filmnya sampe bawa2 nama remake nama drakornya bawa2 webtonya
"Wkt pertama ntn trailer business proposal indonesia..udh kerasa Kang Tae Moo nya beda, dan justru krn itu Harapanku tinggi. 😅😅😅 Tp skr kayanya ketinggian.<br><br>Drakornyaa sih aku g terlalu ngefans, trz yg indo kejadiannya gini.. jd ga tau mau  berharap apa.. <br>Tp gara2 begini jd pengen ntn.. 😂",wkt ntn trailer business proposal indonesiaudh kerasa kang tae moo beda krn harapanku tp skr kayanya ketinggiandrakornyaa g ngefans trz indo kejadiannya gini jd berharap tp gara2 jd pengen ntn
RULE 1 2  3 BENAR JUGA TUH Pokoknyah JANGAN Senggol kalau gak mau kena mental,rule 1 2 3 tuh pokoknyah senggol kena mental
Mudah-mudahan artis yg ngandelin gimik buat terkenal juga kena cancel kultur juga😅.,mudahmudahan artis ngandelin gimik terkenal kena cancel kultur
Karma? Aku menyebutnya kebodohan terstruktur 😅😅,karma menyebutnya kebodohan terstruktur
Sombong nya to the max bgt si Abidzar.. problematik bgt bocah.. sok idealis.. tbh dia cuma Ketolong nama bapak nya doang..  kata gua mah kasian pemain sama kru yg laen.. gegara 1 org jd rugi semuanya..,sombong to the max problematik bocah sok idealis tbh ketolong nama doang mah kasian pemain kru laen gegara 1 org jd rugi
Kalo gua jadi pemodal dah gua masukin karung,pemodal dah masukin karung
Bacot,bacot
"Awalnya bingung ini orang siapa?? Ganteng juga gak, terkenal jg nggak tiba2 nongol sok keren sok cool eeeh tyt yaah bisa main film gr2 numpang tenar nama ortu..<br><br>😊",bingung ganteng terkenal jg nggak tiba2 nongol sok keren sok cool eh tyt yaah main gr2 numpang tenar nama ortu
Tamat karir nih bapak dzar,tamat karir nih dzar
"Iya ini film viral di korea, dan lu PD dengan kualitas versi Indonesianya, dan lu yakin walau lu songong pasti tetep pecinta Drakor bakalan banyak yang nonton...tapi lu ga salah sih, pecinta drakor emang pasti bakalan tetep nonton, tapi lu juga lupa kalau ada bajakan!!😆...pecinta2 Drakor yg tadinya paling royalpun karena bacot lu pasti bakalan pilih nonton bajakanya hanya untuk buat lu nyesel sampai ketulang....😆",iya viral korea pd kualitas versi indonesianya songong tetep pecinta drakor nontontapi salah pecinta drakor tetep lupa bajakanpecinta2 drakor royalpun bacot pilih bajakanya nyesel ketulang
"Sebagai pembaca Webtoon nya,, saya tak tertarik tuk nonton filmnya 😅😅😅",pembaca webtoon tertarik tuk filmnya
"Well said.. 22 menit tapi sangat objektif dan mewakilkan segalanya.. semua point yang anda bilang terutama bagian falcon saya setuji sekali.. sikap falcon yg meremehkan audience berharap viral, banyak hate tp rame adalah sikap petinggi yg paling menjijikkan.. gak peduli karya sampah yg di rilisnya, yg penting cuan.. lalu sikap pedenya merangkum 12 episode dalam film kurang dari 2 jam tapi gak memberi kreativitas yg maksimal untuk menyusun plot agar tetap natural dan wajar juga adalah bentuk ngeremehin karya orang yg paling menjijikkan..<br>Abidzar gak ketolong, tp falcon juga kedepannya harus lebih serius dan menghargai karya cerita orang.. orang menulis karya bukan tanpa riset dan pengorbanan.. kasih penghargaan dengan minimal baca baik2lah inti dan maksud sang penulis untuk cerita itu",well said 22 menit objektif mewakilkan point falcon setuji sikap falcon meremehkan audience berharap viral hate tp rame sikap petinggi menjijikkan peduli karya sampah rilisnya cuan sikap pedenya merangkum 12 episode 2 jam kreativitas maksimal menyusun plot natural wajar bentuk ngeremehin karya menjijikkanabidzar ketolong tp falcon kedepannya serius menghargai karya cerita menulis karya riset pengorbanan kasih penghargaan minimal baca baik2lah inti maksud sang penulis cerita
udah kaya harga Yamin Nikita Mirzani 69.000,kaya harga yamin nikita mirzani 690
Gw ngerti sih mksd si Abizar mau buat karakternya sendiri. Tp public speaking dia aja yg kurenggg bangettt.,ngerti mksd abizar karakternya tp public speaking kureng
"dari kejadian ini aku bisa mengerti bahwa Indonesia ini lebih mudah mengcancel sebuah flim cuman karena Aktornya yg omongannya gk sesuai sikon,  sedangkan banyak orang yg udh kena kasus narkoba trs dia tetap melalang buana malah ada yg sukses gk ada tuh yg cancel.",kejadian mengerti indonesia mudah mengcancel flim cuman aktornya omongannya sesuai sikon kena narkoba trs melalang buana sukses tuh cancel
Hati2 bang dia manja suka lapor polisi😂,hati2 manja suka lapor polisi
"Tapi,, kalao uda hancur begini, netizen Indonesia biasanya tergerak oleh belas kasihan, jadi pelan2 mau nonton n ajak temen2 nya u maafin.",kalao uda hancur netizen indonesia tergerak belas kasihan pelan2 n ajak temen2 u maafin
"Ketika orang ada yang bilang tidak ada orang yang bodoh,gua percaya<br>Tapi kalo ada orang yang tolol,ini contohnya.",bodohgua percayatapi tololini contohnya
ngerti kan sekarang kenapa kalo remake film/series selalu make vino g bastian,ngerti remake filmseries make vino g bastian
Dikiranya dia mau meranin Draco Malfoy 😅,dikiranya meranin draco malfoy
"Mantaps. .... Bang .... Padat, Jelas, Tegas dan Lugas ..... Sangat Menanti Abang di Next Time sebagai Actor main film .....Beneran ditunggu semoga ada Producer yang mengajak Abang Main Film ❤",mantaps padat lugas abang next time actor main beneran ditunggu semoga producer mengajak abang main
Lebih suka karakter lu bang😂dari ngomong nya lu rapih banget😂,suka bangdari ngomong rapih
Cocokan lu bang yang jadi pemain nya😂,cocokan pemain
Kasian Falcon mesti bayar sana sini buat perbaikin rating dg berharap orang2 berubah pikiran buat nyoba nonton... 🤣🤣,kasian falcon mesti bayar perbaikin rating dg berharap orang2 berubah pikiran nyoba
Kurang jangan macam macam sama fans madrid yg suka nongkrong di monas sampe 1jt,madrid suka nongkrong monas sampe 1jt
"6900 penonton, lebih banyak view video yt gw jir😂",6900 penonton view video yt jir
"Sorry bang tp editan lu terlalu rame, berisik bgt...",sorry tp editan rame berisik
"Memang abidzar udah gak ketolong, tapi moga2 ini pembelajaran keras untuk falcon.. karena selama ini penggemar weebtoon juga udh banyak kecewa kek film pasutri gaje ataupun sekoteng yang castingnya gak sesuai dengan webtoonnya yg membuat penggemarnya kecewa, cerita sebagus itu yg menemani pembaca tiap minggu dibuat film oleh falcon yg malas casting orang yg sesuai dengan latar belakang karakternya.. lain kali casting serius, jgn asal pilih yg terkenal aja",ketolong moga2 pembelajaran keras falcon penggemar weebtoon kecewa kek pasutri gaje sekoteng castingnya sesuai webtoonnya penggemarnya kecewa cerita sebagus menemani pembaca minggu falcon malas casting sesuai latar karakternya kali casting serius jgn pilih terkenal
Terlalu percaya diri😂,percaya
F! gua lagi nonton breaking bad malah kena spoiler dari cuplikan disini!!,f breaking bad kena spoiler cuplikan
Bagusnya kalau mau memerankan suatu cerita yg mau di adaptasi/remake dari sebuah cerita yang sudah terkenal ya baiknya nonton dulu atau baca dulu semua episodenya jadi bisa memerankan sesuai karakter tersebut dan jaga kesopanan sih. Dan durasi harusnya bisa lebih dari dua jam kayaknya biar bisa dapat peran semua dan make sense atau nggak di bikin series berapa episode aja gitu yang inti-intinya.,bagusnya memerankan cerita adaptasiremake cerita terkenal baiknya baca episodenya memerankan sesuai jaga kesopanan durasi jam kayaknya biar peran make sense nggak series episode gitu intiintinya
"<a href=""https://www.youtube.com/watch?v=vFUT18yhMB8&amp;t=770"">12:50</a> ... ntah knp di trailer aja gw ngerasa cringe",1250 ntah knp trailer ngerasa cringe
Gue gak tau Abidzar ini siapa atau film ini juga gue gak tau. Tapi topiknya menarik karena mirip kontroversi live action Snow White yang dirujak sama netizen karena ulah tengil aktris utamanya Rachel Zegler selama promo film ini. Entah nanti bulan Maret gimana nasib film Snow White ini saat dirilis. Mungkin akan mengalami nasib yang sama dengan film Business Proposal ini.,topiknya menarik kontroversi live action snow white dirujak netizen ulah tengil aktris utamanya rachel zegler promo maret gimana nasib snow white dirilis mengalami nasib business proposal
